fecha,dia_semana,n1,n2,n3,n4,n5,bolilla_extra,fuente
2025-11-09,domingo,5,20,30,31,45,7,stats247
2025-11-12,miercoles,4,9,17,45,47,12,stats247
2025-11-16,domingo,14,27,41,45,47,34,stats247
2025-11-19,miercoles,1,22,27,31,36,16,stats247
2025-11-23,domingo,6,11,22,28,36,17,stats247
2025-11-26,miercoles,15,18,27,38,43,2,stats247
2025-11-30,domingo,3,23,24,29,39,19,stats247
2025-12-03,miercoles,6,10,11,26,43,44,stats247
2025-12-07,domingo,11,22,34,36,43,27,stats247
2025-12-10,miercoles,15,29,30,36,45,41,stats247
2025-12-14,domingo,4,10,16,32,33,23,stats247
2025-12-17,miercoles,1,4,5,9,29,15,stats247
2025-12-21,domingo,1,30,35,41,47,32,stats247
2025-12-24,miercoles,5,13,27,43,47,45,stats247
2025-12-28,domingo,17,34,35,40,43,27,stats247
2025-12-31,miercoles,8,23,27,44,45,39,stats247
2026-01-04,domingo,1,6,12,19,32,46,stats247
2026-01-11,domingo,6,8,34,36,39,18,stats247
2026-01-14,miercoles,1,21,25,27,35,19,magayo
2026-01-18,domingo,5,14,20,40,43,45,magayo
2026-01-25,domingo,1,3,4,25,32,16,magayo
2026-01-28,miercoles,24,35,39,45,47,46,magayo
2026-02-01,domingo,6,12,16,19,25,9,magayo
2026-02-04,miercoles,7,18,42,44,48,39,magayo
2026-02-08,domingo,6,11,16,26,34,48,magayo
2026-02-11,miercoles,2,19,20,24,40,8,magayo
2026-02-15,domingo,3,6,25,28,41,5,magayo
2026-02-19,jueves,7,8,11,13,40,46,magayo
2026-02-22,domingo,4,5,6,20,41,48,magayo
2026-02-25,miercoles,1,6,24,34,44,3,lottoster
2026-03-01,domingo,4,7,14,24,47,35,lottoster
2026-03-04,miercoles,1,4,7,28,32,13,lottoster
2026-03-08,domingo,1,6,10,13,34,2,lottoster
2026-03-11,miercoles,5,26,31,37,46,3,lottoster
2026-03-15,domingo,2,4,29,33,42,32,lottoster
2026-03-18,miercoles,3,8,9,26,38,10,lottoster
2026-03-22,domingo,10,26,28,29,34,38,lottoster
2026-03-25,miercoles,4,5,23,33,38,35,lottoster
2026-03-29,domingo,13,16,31,41,43,44,lottoster
2026-04-01,miercoles,8,16,22,26,31,47,lottoster
2026-04-06,lunes,8,22,36,45,48,25,lottoster
2026-04-09,jueves,10,20,30,31,48,29,lottoster
2026-04-12,domingo,6,11,14,23,36,22,lottoster
2026-04-15,miercoles,4,7,15,18,47,10,lottoster
2026-04-20,lunes,18,25,40,42,44,5,lottoster
2026-04-23,jueves,2,7,8,29,33,18,lottoster
2026-04-26,domingo,11,12,25,27,33,45,lottoster
2026-04-29,miercoles,1,8,18,19,26,48,lottoster
2026-05-04,lunes,4,6,9,23,33,42,lottoster
